t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
584,901,900815.950512644,1000000,0,92094.6915957277,901000000,901000000,15007.1705655088,0,15000,0,95058.9738110736,9559.0374416653,92094.6915957277,6188.4499233524,83.2976511848,158431.623018456
585,924,923999.140900399,1000000,0,66409.8711266306,924000000,924000000,15004.543699623,0,15000,0,91718.041278658,7036.2304100263,66409.8711266306,8666.9224734935,81.1934937786,152863.402131097
585,946,945542.404289804,1000000,0,39270.0987754494,946000000,946000000,15002.050222953,0,15000,0,79566.0051863341,4209.7010641576,39270.0987754494,14241.9152845672,79.3303936179,132610.00864389
586,957,956487.528312757,1000000,0,16096.685336098,957000000,956000000,15000.0959985516,0,15000,0,54936.3475461216,1710.2907328124,16096.685336098,26459.2827272277,78.4123972061,91560.579243536
587,952,951964.683695417,1000000,0,6562.2818682117,952000000,952000000,14999.3049561573,0,15000,0,34347.3751365663,1043.4756380073,6562.2818682117,40521.0631819601,78.7807846922,57245.6252276106
588,941,941206.062691537,1000000,0,3020.0173308398,941000000,941000000,14998.9879245846,0,15000,0,20553.7666250551,1077.0071551994,3020.0173308398,54832.7108829455,79.6796180939,34256.2777084252
589,928,928224.395426837,1000000,0,1848.3513328822,928000000,928000000,14998.8569549901,0,15000,0,12151.9845257911,1284.4136082517,1848.3513328822,68999.0269833643,80.7932706191,20253.3075429852
590,915,914578.984090557,1000000,0,1577.8402419265,915000000,915000000,14998.7981365904,0,15000,0,7331.6957631923,1529.8770360258,1577.8402419265,82928.5950921783,81.998375195,12219.4929386538
592,899,898639.481303461,1000000,0,1667.7872513285,899000000,899000000,14998.7633703928,0,15000,0,4409.2200578947,1827.7571168474,1667.7872513285,98794.0902828026,83.4526174425,7348.7000964912
593,878,878303.30173535,1000000,0,1987.1978083465,878000000,878000000,14998.7364224031,0,15000,0,2858.7094101741,2223.4281431556,1987.1978083465,118831.195154372,85.3847207039,4764.5156836234
595,859,858520.274591732,1000000,0,2371.1060045246,859000000,859000000,14998.7165253509,0,15000,0,2464.2865608546,2628.4088849164,2371.1060045246,138250.096745431,87.3521393102,4107.144268091
597,831,830668.995036889,1000000,0,2970.2969858808,831000000,831000000,14998.6940557686,0,15000,0,2664.3965299096,3242.4155136064,2970.2969858808,165530.03599988,90.2808106802,4440.6608831826
599,802,801901.311865158,1000000,0,3662.2561138285,802000000,802000000,14998.6792638495,0,15000,0,3228.3514467487,3952.8903934716,3662.2561138285,193634.527035567,93.5194832701,5380.5857445811
